Station Name,Street Address,City,State,ZIP,Status Code,Latitude,Longitude,ID,Open Date,EV Connector Types,Country,Access Code
Bellingham - Sehome Village,222 36th St,Bellingham,WA,98325,E,48.731457,-122.470706,65862,,CHADEMO J1772,US,public
Castle Rock - Cascade Select Market,204 W. Cowlitz Street,Castle Rock,WA,98611,E,46.276122,-122.910167,65864,,CHADEMO J1772,US,public
Burlington - The Outlet Shoppes,448 Fashion Way,Burlington,WA,98233,E,48.457448,-122.335866,65865,,CHADEMO J1772,US,public
Ridgefield - Country Café,6370 N. 1st Circle,Ridgefield,WA,98642,E,45.817526,-122.683594,65866,,CHADEMO J1772,US,public
I-5 Custer SB Rest Area,3063 Creasy Rd,Custer,WA,98240,E,48.927904,-122.648343,65868,,J1772,US,public
Skykomish - Sky Deli,148 5th Street N,Skykomish,WA,98288,E,47.711268,-121.360495,65869,,CHADEMO J1772,US,public
I-5 Gee Creek NB Rest Area,"Interstate 5, Milepost 11 South",Ridgefield,WA,98642,E,45.77671,-122.669,65870,,J1772,US,public
525 NORTHGATE RETAIL #1,525 NE Northgate Way,Seattle,WA,98125,E,47.707951,-122.321496,66221,,J1772,US,public
Power Trip Energy Corp,83 Denny Ave,Port Townsend,WA,98368,E,48.093634,-122.813252,66418,2012-06-01,J1772,US,public
John L Scott Real Estate,2219 W Sims Way,Port Townsend,WA,98368,E,48.102409,-122.80229,66419,2015-02-01,J1772,US,public
Port Townsend Laundromat & Car Wash,2115 W Sims Way,Port Townsend,WA,98368,E,48.102881,-122.800407,66420,2015-02-01,J1772,US,private
GreenPod Development,1531 W Sims Way,Port Townsend,WA,98368,E,48.103061,-122.794143,66421,2015-02-03,J1772,US,public
Windermere Real Estate,1220 Water St,Port Townsend,WA,98368,E,48.113018,-122.760544,66422,2015-02-04,J1772,US,public
HAMPTON INN WEST BACK,11505 NE 2nd Pl,Bellevue,WA,98004,E,47.611711,-122.187292,66594,,J1772,US,public
SIA GARAGE F1,9000 W Airport Dr,Spokane,WA,99224,E,47.625092,-117.53956,66622,,J1772,US,public
MAIN HOSPITAL SILVER #2,12001-12099 NE 130th Ln,Kirkland,WA,98034,E,47.716066,-122.179613,66645,,J1772,US,public
WINSLOW WAY WINSLOW #1,232-240 Winslow Way E,Bainbridge Island,WA,98110,E,47.624921,-122.51934,66696,,J1772,US,public
The Co-Op Farm and Garden,216 E Washington St,Sequim,WA,98382,E,48.079897,-123.098996,67125,2015-01-01,J1772,US,public
VISITOR GARAGE PEDESTAL UNIT,1201 Pacific Ave,Tacoma,WA,98402,E,47.252117,-122.437452,67692,,J1772,US,public
HOMEWOOD SUITES HOMEWOOD #1,1484 Hyla Ave NW,Issaquah,WA,98027,E,47.547088,-122.065336,68187,,J1772,US,public
Banks Lake Brew and Bistro,695 N 2nd St,Coulee City,WA,99115,E,47.616684,-119.287843,68846,2015-08-03,J1772,US,public
VM CHARGERS VIRGINIA MASON2,1012 Terry Ave,Seattle,WA,98101,E,47.609528,-122.326393,68940,,J1772,US,public
CHARGEPOINT T&C BAINBRIDGE,343 Winslow Way E,Bainbridge Island,WA,98110,E,47.62419,-122.517509,69209,,J1772,US,public
INSIGNIA 953 EV216,588 Bell St,Seattle,WA,98121,E,47.616571,-122.342673,69853,,J1772,US,public
UWB CASCADIA CC TRULY HOUSE #1,18140 Campus Way NE,Bothell,WA,98011,E,47.759501,-122.193075,70092,,J1772,US,public
UWB CASCADIA CC SOUTH DUAL #2,11237-11299 NE 180th St,Bothell,WA,98011,E,47.757842,-122.190719,70095,,J1772,US,public
COLLEGE HALL CROSBY HOUSE,508 E Sharp Ave,Spokane,WA,99202,E,47.669044,-117.402594,70235,,J1772,US,public
Best Western Plus - Evergreen Inn and Suites,32124 25th Ave S,Federal Way,WA,98003,E,47.313989,-122.300707,71773,2019-06-28,J1772,US,public
Best Western Plus - Tacoma Dome Hotel,2611 East E St,Tacoma,WA,98421,E,47.238785,-122.426722,71774,2015-12-01,J1772,US,public
ESSEX SAMMAMISH VIEW,16160 SE Eastgate Way,Bellevue,WA,98008,E,47.577051,-122.125164,71918,,J1772,US,public
MADISON GARAGE MADISON GARAGE2,1229 Madison St,Seattle,WA,98104,E,47.610087,-122.322114,72656,,J1772,US,public
Expo Apartments,118 Republican St,Seattle,WA,98109,E,47.6232795,-122.354922,72739,2016-01-25,J1772,US,public
Terex Aerial Work Platforms,6464 185th Ave NE,Redmond,WA,98052,E,47.6633515,-122.0932594,73113,2016-01-25,J1772,US,public
KING COUNTY DOT BURIEN P&R #5,14900 4th Ave SW,Burien,WA,98166,E,47.469258,-122.338762,73197,,J1772,US,public
SIA CELL LOT,8909 W Airport Dr,Spokane,WA,99224,E,47.630989,-117.540534,73219,,J1772,US,public
Tumwater - Shell Station & Deli Mart,6131 Capital Blvd SW,Tumwater,WA,98501,E,46.99353,-122.908081,73412,,CHADEMO J1772,US,public
